P,P_sigma,Rplanet,Rplanet_sigma,Teff,Teff_sigma,Rstar,Rstar_sigma
384.847556,0.007105,1.09,0.15000000000000002,5579.0,150.0,0.798,0.11249999999999999
10.94026745,3.014e-05,2.08,0.35,5749.0,164.5,0.864,0.1455
4.221626193,5.023e-06,2.87,0.64,6123.0,181.5,0.987,0.2195
16.54967098,4.378e-05,2.95,0.52,5372.0,160.0,0.916,0.1615
3.52467888,3.044e-05,1.46,0.255,5372.0,160.0,0.916,0.1615
0.677374687,1.098e-06,0.9,0.11000000000000001,5718.0,109.5,1.037,0.1305
101.1107014,0.0009529,1.61,0.09,4133.0,78.0,0.561,0.0315
3.62275506,1.499e-05,1.62,0.255,5794.0,78.0,1.216,0.192
5.852968845,4.978e-06,3.46,0.7549999999999999,6050.0,190.0,1.013,0.222
81.1701587,0.0003838,4.71,0.8500000000000001,5460.0,73.0,1.165,0.21000000000000002
16.38489988,5.219e-05,2.0,0.095,4126.0,82.0,0.615,0.028
15.65563866,3.206e-05,2.55,0.315,5185.0,154.0,0.837,0.104
4.286866229,3.232e-06,4.14,0.87,6228.0,194.0,1.049,0.2215
24.31574009,7.335e-05,2.8,0.61,6242.0,196.0,1.047,0.2285
6.412512953,5.036e-06,3.89,0.905,6026.0,200.5,1.108,0.257
6.521209629,8.386e-06,2.54,0.43,5822.0,157.5,0.898,0.152
59.8780258,0.0001502,2.19,0.11000000000000001,4016.0,79.0,0.599,0.03
6.996926239,6.335e-06,3.21,0.54,5713.0,155.5,0.893,0.1505
151.863949,0.001387,2.41,0.40499999999999997,5713.0,155.5,0.893,0.1505
14.13175309,4.462e-05,3.02,0.505,5616.0,169.0,0.822,0.138
2.437029217,5.017e-06,2.04,0.375,5573.0,75.0,1.329,0.242
25.85499978,8.545e-05,2.4,0.5,6122.0,191.0,0.964,0.2015
10.692115,0.003313,2.71,0.635,6474.0,204.5,1.242,0.2925
6.18943952,2.185e-05,0.65,0.04,5051.0,159.0,0.721,0.044
8.39842977,5.66e-05,2.0,0.425,6309.0,197.0,1.044,0.2235
2.104721971,8.86e-07,2.89,0.525,5703.0,171.0,0.975,0.176
